,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
15,336.0,73.7,25.42333333,25.21935484,19.951612899999997,387.2,20.21666667,21.00322581,-5.0,33.80967742,70.26451613,0.322046,40.83666667,24.98064516,197.5,59.00967742,33.91333333,-0.0933,0.1,64.36428571
16,336.0,520.1,25.92666667,25.31612903,18.56774194,58.0,19.87666667,19.86129032,3.4,33.62580645,66.13548387,-0.0261,42.34666667,24.75483871,182.5,60.95483871,33.93,-0.130449,0.0,69.71785714
17,616.3,316.4,24.88666667,25.32258065,19.43870968,230.5,20.77,20.00645161,7.7,33.29354839,69.1516129,-0.571924,48.99,24.6483871,78.4,60.43225806,32.73,-0.459049,0.0,68.86428571
18,525.9,445.5,25.24333333,25.20645161,19.85806452,277.5,20.04333333,19.62580645,-4.1,33.22580645,70.78709677,0.743366,45.28,24.22903226,182.5,58.81290323,33.33333333,0.6344810000000001,0.0,71.37931034
19,508.4,371.9,25.30666667,25.16774194,18.65806452,304.3,20.00333333,19.53225806,-15.4,32.92903226,67.39677419,0.700336,46.37333333,23.97741935,97.1,61.50967742,33.43333333,0.791462,0.0,66.26785714
20,550.9,361.4,24.45,24.89032258,18.38387097,143.2,20.23333333,19.06451613,-3.6,31.09354839,67.58387097,0.482447,49.61333333,24.55483871,68.6,59.66774194,31.73333333,0.612001,0.0,66.71428571
21,241.9,467.4,23.94,24.36451613,18.24193548,250.6,21.61,18.47419355,10.5,33.9,61.93225806,-0.831472,47.98666667,24.08709677,243.4,64.78709677,33.38333333,-1.1140700000000001,0.0,68.39642857
22,333.8,192.1,23.66666667,24.62258065,20.02580645,334.9,17.93666667,21.10967742,3.9,32.27096774,68.03548387,-0.13381400000000002,34.12666667,24.56774194,127.2,64.20967742,32.17,-0.145369,0.0,66.32413793
23,239.6,377.4,24.27,25.11290323,18.35806452,474.2,20.02666667,19.18387097,6.3,33.32580645,64.24516129,-0.33761399999999997,38.59,24.18709677,301.8,66.99032258,32.94666667,-0.16048800000000002,0.0,63.30357143
24,287.3,303.8,24.32333333,23.89032258,18.95483871,128.0,19.91666667,21.78709677,4.4,31.97741935,73.94193548,-0.100122,42.33333333,24.42903226,199.9,66.78064516,32.02333333,-0.208418,0.3,72.00357143
25,233.3,375.0,25.75333333,26.22258065,19.751612899999998,466.1,18.65333333,20.53225806,-4.1,32.91290323,63.82258065,-0.0945,43.21333333,24.20645161,203.9,62.93548387,32.8,0.354631,15.2,70.28214286
26,171.2,205.5,25.25,24.90967742,20.3516129,306.4,20.76,22.41935484,-2.7,32.40645161,62.05483871,-0.144823,47.37,25.0516129,198.6,61.86774194,33.14666667,0.127642,83.8,64.03103448
27,208.8,553.4,25.74,24.79677419,20.27096774,397.7,19.11666667,20.07741935,2.0,33.21612903,64.73225806,0.441246,46.71,25.248387100000002,208.6,68.74838709999999,33.03333333,-0.0415,0.0,70.61785714
28,593.0,319.8,25.37,24.62903226,18.13225806,230.9,16.79333333,19.40967742,17.6,32.27419355,70.37096774,-1.05574,43.83,25.3516129,350.3,68.76451613,32.65666667,-0.551649,0.0,71.88571429
29,198.6,341.6,24.59333333,24.00645161,19.17741935,171.5,20.09333333,20.248387100000002,9.6,31.83225806,71.55806452,-0.913183,49.63666667,24.16451613,357.9,69.78387097,32.16333333,-1.1231,0.8,72.86428571
30,317.2,158.5,25.55666667,25.66774194,19.04193548,171.7,21.37,21.42903226,-7.9,33.04838710000001,64.93225806,0.168226,49.76666667,25.47096774,168.9,62.43870968,33.16,0.370361,0.5,63.54827586
31,465.5,325.0,25.52333333,26.51290323,20.18387097,203.5,19.33,20.39032258,-6.0,32.96451613,66.14838710000001,0.0324,35.05333333,25.90645161,170.9,58.79677419,33.30333333,0.386221,0.3,64.94285714
